id,lat,long
NAP2202,-38.61588125,176.1791092
NMA0331,-46.30538362,168.3595004
NPK0331,-39.15815501,175.398903
NPL0331,-39.0583075,174.02670969999997
NPL1101,-39.0583075,174.02670969999997
NPL2201,-39.0583075,174.02670969999997
NSY0331,-45.03318338,170.09334330000002
OAM0331,-45.06925986,170.9173275
OHA2201,-44.26587969,170.0292117
OHB2201,-44.30180629,170.1105496
OHC2201,-44.34356631,170.1794993
OHK2201,-38.40797424,176.0859429
OKI2201,-38.52773954,176.292394
OKN0111,-39.42669404,175.36814119999997
ONG0331,-38.74567931,175.18162759999998
OPK0331,-39.39258698,173.9272794
ORO1101,-41.76373982,171.6335859
ORO1102,-41.76373982,171.6335859
OTA0221,-36.95471148,174.862518
OTA1101,-36.95471148,174.862518
OTA1102,-36.95471148,174.862518
OTA2201,-36.95471148,174.862518
OTA2202,-36.95471148,174.862518
OTI0111,-42.83162744,171.56391069999998
OWH0111,-38.12995747,176.3232939
PAK0331,-36.92596495,174.9065639
PAL0331,-45.485688399999994,170.686905
PAO1101,-37.65051212,175.5607521
PEN0221,-36.90436127,174.81623069999998
PEN0331,-36.90436127,174.81623069999998
PEN1101,-36.90436127,174.81623069999998
PNI0331,-41.10970022,174.91870469999998
PPI2201,-38.62979695,176.04147659999998
PRM0331,-40.92539315,175.0122936
RDF0331,-39.55160992,176.82067709999998
RDF2201,-39.55160992,176.82067709999998
RFN1101,-42.08256384,171.84494640000003
RFN1102,-42.08256384,171.84494640000003
ROS0221,-36.91384092,174.7257184
ROS1101,-36.91384092,174.7257184
ROT0111,-38.14843644,176.22703280000002
ROT0331,-38.14843644,176.22703280000002
ROT1101,-38.14843644,176.22703280000002
ROX1101,-45.47721654,169.3191239
ROX2201,-45.47721654,169.3191239
RPO2201,-39.1533338,175.83710359999998
SBK0331,-43.32735765,172.5986917
SDN0331,-45.89077109,170.507481
SFD0331,-39.334189,174.319531
SFD2201,-39.334189,174.319531
SPN0331,-43.63768126,172.4499249
SPN0661,-43.63768126,172.4499249
STK0331,-41.31463272,173.24377119999997
STK2201,-41.31463272,173.24377119999997
STU0111,-44.73217587,171.13811850000002
SVL0331,-36.62356946,174.68349630000003
SWN0251,-36.9303972,174.8142745
SWN2201,-36.9303972,174.8142745
TAK0331,-37.03899062,174.9336011
TGA0111,-37.72741767,176.130989
TGA0331,-37.72741767,176.130989
THI2201,-38.61850879,176.0522461
TIM0111,-44.37264717,171.230294
TKA0111,-44.01382023,170.46102539999998
TKA0331,-44.01382023,170.46102539999998
TKB2201,-44.12516755,170.2117598
TKH0111,-37.74272406,177.6855916
TKR0331,-41.15735471,174.8715247
TKU0331,-38.98172616,175.7702004
TKU2201,-38.98172616,175.7702004
TMI0331,-37.81687927,176.3395502
TMK0331,-44.22364713,171.2922543
TMN0551,-38.8849095,175.2578613
TMU0111,-38.00229607,175.3201513
TMU1101,-38.00229607,175.3201513
TNG0111,-39.46475884,175.5723504
TNG0551,-39.46475884,175.5723504
TRK0111,-38.07383986,176.1596091
TRK2201,-38.07383986,176.1596091
TUI0111,-38.80536013,177.15138230000002
TUI1101,-38.80536013,177.15138230000002
TWC2201,-40.35429521,175.7737072
TWH0331,-37.72967701,175.1231192
TWI2201,-46.58967798,168.39236269999998
TWZ0331,-44.27863866,170.100291
UHT0331,-41.09956695,175.0942327
WAI0111,-38.02525005,177.1921126
WDV0111,-40.31547623,175.8560316
WDV1101,-40.31547623,175.8560316
WEL0331,-36.28506074,174.5132955
WGN0331,-39.93821677,175.11862480000002
WHI0111,-39.38227754,176.8868421
WHI2201,-39.38227754,176.8868421
WHU0331,-37.56923598,175.6830483
WIL0331,-41.25864946,174.7598185
WIR0331,-36.987812700000006,174.88458530000003
WKM2201,-38.41912782,175.80002050000002
WKO0331,-37.41572383,175.7745516
WPA2201,-38.29166687,175.6833816
WPR0331,-43.05191033,172.75608569999997
WPR0661,-43.05191033,172.75608569999997
WPT0111,-41.75198982,171.5086533
WPW0331,-39.91870284,176.44695259999997
WRA0111,-38.99683536,177.4063252
WRD0331,-36.780624,174.746886
WRK0331,-38.62571063,176.1054389
WRK2201,-38.62571063,176.1054389
WTK0111,-44.69210547,170.4290267
WTK0331,-44.69210547,170.4290267
WTK2201,-44.69210547,170.4290267
WTU0331,-39.60650558,176.8813071
WVY0111,-39.75410545,174.63545990000003
WWD1102,-41.27071576,174.67872690000002
WWD1103,-41.27071576,174.67872690000002
